code,date,value
AVBLS,1/13/2009,0.0002
BCDDC,1/13/2009,168
BCDDE,1/13/2009,15
BCDDM,1/13/2009,0
BCDDW,1/13/2009,0
BCDDY,1/13/2009,0
BLCHS,1/13/2009,0
CPTRA,1/13/2009,0
CPTRV,1/13/2009,0
DIFF,1/13/2009,1
ETRAV,1/13/2009,0
ETRVU,1/13/2009,0
HRATE,1/13/2009,0
MIOPM,1/13/2009,-2147483648
MIREV,1/13/2009,0
MKPRU,1/13/2009,0
MKTCP,1/13/2009,0
MWNTD,1/13/2009,0
MWNUS,1/13/2009,2
MWTRV,1/13/2009,0
NADDU,1/13/2009,126
NETDF,1/13/2009,0
NTRAN,1/13/2009,126
NTRAT,1/13/2009,489
NTRBL,1/13/2009,1
NTREP,1/13/2009,126
TOTBC,1/13/2009,24100
TOUTV,1/13/2009,6300
TRFEE,1/13/2009,0
TRFUS,1/13/2009,0
TRVOU,1/13/2009,0
TVTVR,1/13/2009,0
ATRCT,1/14/2009,0
AVBLS,1/14/2009,0.0002
BCDDC,1/14/2009,168
BCDDE,1/14/2009,0
BCDDM,1/14/2009,0
BCDDW,1/14/2009,0
BCDDY,1/14/2009,0
BLCHS,1/14/2009,0.0852
CPTRA,1/14/2009,0
CPTRV,1/14/2009,1533.8164
DIFF,1/14/2009,1
ETRAV,1/14/2009,414
ETRVU,1/14/2009,0
HRATE,1/14/2009,0
MIOPM,1/14/2009,-2147483648
MIREV,1/14/2009,0
MKPRU,1/14/2009,0
MKTCP,1/14/2009,0
MWNTD,1/14/2009,0
MWNUS,1/14/2009,2
MWTRV,1/14/2009,0
NADDU,1/14/2009,130
NETDF,1/14/2009,0
NTRAN,1/14/2009,136
NTRAT,1/14/2009,394
NTRBL,1/14/2009,1
NTREP,1/14/2009,136
TOTBC,1/14/2009,22050
TOUTV,1/14/2009,6911
TRFEE,1/14/2009,0
TRFUS,1/14/2009,0
TRVOU,1/14/2009,0
TVTVR,1/14/2009,0
ATRCT,1/15/2009,0
AVBLS,1/15/2009,0.0002
BCDDC,1/15/2009,918
BCDDE,1/15/2009,750
BCDDM,1/15/2009,0
BCDDW,1/15/2009,0
BCDDY,1/15/2009,0
BLCHS,1/15/2009,0
CPTRA,1/15/2009,0
CPTRV,1/15/2009,5800
DIFF,1/15/2009,1
ETRAV,1/15/2009,100
ETRVU,1/15/2009,0
HRATE,1/15/2009,0
MIOPM,1/15/2009,-2147483648
MIREV,1/15/2009,0
MKPRU,1/15/2009,0
MKTCP,1/15/2009,0
MWNTD,1/15/2009,0
MWNUS,1/15/2009,2
MWTRV,1/15/2009,0
NADDU,1/15/2009,117
NETDF,1/15/2009,0
NTRAN,1/15/2009,117
NTRAT,1/15/2009,742
NTRBL,1/15/2009,1
NTREP,1/15/2009,134
TOTBC,1/15/2009,36250
TOUTV,1/15/2009,6800
TRFEE,1/15/2009,0
TRFUS,1/15/2009,0
TRVOU,1/15/2009,0
TVTVR,1/15/2009,0
ATRCT,1/16/2009,0
AVBLS,1/16/2009,0.0002
BCDDC,1/16/2009,1082
BCDDE,1/16/2009,164
BCDDM,1/16/2009,0
BCDDW,1/16/2009,0
BCDDY,1/16/2009,0
BLCHS,1/16/2009,0
CPTRA,1/16/2009,0
CPTRV,1/16/2009,5400
DIFF,1/16/2009,1
ETRAV,1/16/2009,100
ETRVU,1/16/2009,0
HRATE,1/16/2009,0
MIOPM,1/16/2009,-2147483648
MIREV,1/16/2009,0
MKPRU,1/16/2009,0
MKTCP,1/16/2009,0
MWNTD,1/16/2009,0
MWNUS,1/16/2009,2
MWTRV,1/16/2009,0
NADDU,1/16/2009,109
NETDF,1/16/2009,0
NTRAN,1/16/2009,109
NTRAT,1/16/2009,851
NTRBL,1/16/2009,1
NTREP,1/16/2009,109
TOTBC,1/16/2009,41650
TOUTV,1/16/2009,5500
TRFEE,1/16/2009,0
TRFUS,1/16/2009,0
TRVOU,1/16/2009,0
TVTVR,1/16/2009,0
ATRCT,1/17/2009,0
AVBLS,1/17/2009,0.0002
BCDDC,1/17/2009,1325
BCDDE,1/17/2009,243
BCDDM,1/17/2009,0
BCDDW,1/17/2009,0
BCDDY,1/17/2009,0
BLCHS,1/17/2009,0.1674
CPTRA,1/17/2009,0
CPTRV,1/17/2009,0
DIFF,1/17/2009,1
ETRAV,1/17/2009,0
ETRVU,1/17/2009,0
HRATE,1/17/2009,0
MIOPM,1/17/2009,-2147483648
MIREV,1/17/2009,0
MKPRU,1/17/2009,0
MKTCP,1/17/2009,0
MWNTD,1/17/2009,0
MWNUS,1/17/2009,2
MWTRV,1/17/2009,0
NADDU,1/17/2009,109
NETDF,1/17/2009,0
NTRAN,1/17/2009,101
NTRAT,1/17/2009,768
NTRBL,1/17/2009,1
NTREP,1/17/2009,101
TOTBC,1/17/2009,46700
TOUTV,1/17/2009,5050
TRFEE,1/17/2009,0
TRFUS,1/17/2009,0
TRVOU,1/17/2009,0
TVTVR,1/17/2009,0
ATRCT,1/18/2009,0
AVBLS,1/18/2009,0.0002
BCDDC,1/18/2009,1325
BCDDE,1/18/2009,0
BCDDM,1/18/2009,0
BCDDW,1/18/2009,0
BCDDY,1/18/2009,0
BLCHS,1/18/2009,0
CPTRA,1/18/2009,0
CPTRV,1/18/2009,3966.6667
DIFF,1/18/2009,1
ETRAV,1/18/2009,150
ETRVU,1/18/2009,0
HRATE,1/18/2009,0
MIOPM,1/18/2009,-2147483648
MIREV,1/18/2009,0
MKPRU,1/18/2009,0
MKTCP,1/18/2009,0
MWNTD,1/18/2009,0
MWNUS,1/18/2009,2
MWTRV,1/18/2009,0
NADDU,1/18/2009,120
NETDF,1/18/2009,0
NTRAN,1/18/2009,120
NTRAT,1/18/2009,1072
NTRBL,1/18/2009,1
NTREP,1/18/2009,108
TOTBC,1/18/2009,44050
TOUTV,1/18/2009,5500
TRFEE,1/18/2009,0
TRFUS,1/18/2009,0
TRVOU,1/18/2009,0
TVTVR,1/18/2009,0
ATRCT,1/19/2009,0
AVBLS,1/19/2009,0.0002
BCDDC,1/19/2009,1660
BCDDE,1/19/2009,335
BCDDM,1/19/2009,0
BCDDW,1/19/2009,0
BCDDY,1/19/2009,0
BLCHS,1/19/2009,0
CPTRA,1/19/2009,0
CPTRV,1/19/2009,748.3871
DIFF,1/19/2009,1
ETRAV,1/19/2009,775
ETRVU,1/19/2009,0
HRATE,1/19/2009,0
MIOPM,1/19/2009,-2147483648
MIREV,1/19/2009,0
MKPRU,1/19/2009,0
MKTCP,1/19/2009,0
MWNTD,1/19/2009,0
MWNUS,1/19/2009,2
MWTRV,1/19/2009,0
NADDU,1/19/2009,118
NETDF,1/19/2009,0
NTRAN,1/19/2009,118
NTRAT,1/19/2009,1190
NTRBL,1/19/2009,1
NTREP,1/19/2009,118
TOTBC,1/19/2009,58450
TOUTV,1/19/2009,6575
TRFEE,1/19/2009,0
TRFUS,1/19/2009,0
TRVOU,1/19/2009,0
TVTVR,1/19/2009,0
ATRCT,1/20/2009,0
AVBLS,1/20/2009,0.0002
BCDDC,1/20/2009,4731
BCDDE,1/20/2009,3071
BCDDM,1/20/2009,0
BCDDW,1/20/2009,0
BCDDY,1/20/2009,0
BLCHS,1/20/2009,0.2413
CPTRA,1/20/2009,0
CPTRV,1/20/2009,1130
DIFF,1/20/2009,1
ETRAV,1/20/2009,500
ETRVU,1/20/2009,0
HRATE,1/20/2009,0
MIOPM,1/20/2009,-2147483648
MIREV,1/20/2009,0
MKPRU,1/20/2009,0
MKTCP,1/20/2009,0
MWNTD,1/20/2009,0
MWNUS,1/20/2009,2
MWTRV,1/20/2009,0
NADDU,1/20/2009,115
NETDF,1/20/2009,0
NTRAN,1/20/2009,115
NTRAT,1/20/2009,1102
NTRBL,1/20/2009,1.0088
NTREP,1/20/2009,115
TOTBC,1/20/2009,64100
TOUTV,1/20/2009,6150
TRFEE,1/20/2009,0
TRFUS,1/20/2009,0
TRVOU,1/20/2009,0
TVTVR,1/20/2009,0
ATRCT,1/21/2009,0
AVBLS,1/21/2009,0.0002
BCDDC,1/21/2009,6585
BCDDE,1/21/2009,1854
BCDDM,1/21/2009,0
BCDDW,1/21/2009,0
BCDDY,1/21/2009,0
BLCHS,1/21/2009,0
CPTRA,1/21/2009,0
CPTRV,1/21/2009,750
DIFF,1/21/2009,1
ETRAV,1/21/2009,500
ETRVU,1/21/2009,0
HRATE,1/21/2009,0
MIOPM,1/21/2009,-2147483648
MIREV,1/21/2009,0
MKPRU,1/21/2009,0
MKTCP,1/21/2009,0
MWNTD,1/21/2009,0
MWNUS,1/21/2009,2
MWTRV,1/21/2009,0
NADDU,1/21/2009,76
NETDF,1/21/2009,0
NTRAN,1/21/2009,76
NTRAT,1/21/2009,1381
NTRBL,1/21/2009,1
NTREP,1/21/2009,105
TOTBC,1/21/2009,67850
TOUTV,1/21/2009,5750
TRFEE,1/21/2009,0
TRFUS,1/21/2009,0
TRVOU,1/21/2009,0
TVTVR,1/21/2009,0
